Respondent ID,Collector ID,indoor_style_practice,outdoor_style_practice,I love to climb,Climbing is fun,I am motivated to climb,I feel encouraged in my climbing,I feel hindered in my climbing,I am inspired to climb by my female-identified climbing friends,I am inspired to climb by films showcasing outdoor womxn climbers,I am inspired to spend more time outdoors after watching films that showcase outdoor womxn climbers,I am inspired to go outdoor climbing after watching films that showcase outdoor womxn climbers,I feel represented within the climbing community,I feel outdoor climbing guides are representative of the larger Vancouver and Squamish area,I feel welcomed in the climbing community,I feel safe in the climbing community,I feel connected to the climbing community,I feel the climbing community reflects the diversity of Vancouver and Squamish areas,I feel it is possible for anyone to progress in climbing,I find indoor climbing more accessible than outdoor climbing,I find it difficult to find the resources to go outdoor climbing,I find it difficult to find the time to go outdoor climbing,I find it difficult to find friends to go outdoor climbing with,Go top-rope climbing outdoors,Go bouldering outdoors,Purchase an indoor climbing gym membership,Purchase climbing shoes,Go top-rope climbing indoors,Go bouldering indoors,Top-rope climbing outdoors,Bouldering outdoors,Having an indoor gym membership,Owning my own climbing shoes,Top-rope climbing indoors,Bouldering indoors,Making friends from the program to go climbing with in the future,"Watching VIMFF films that feature Black, Indigenous, or other racialized womxn in the outdoors",Watching VIMFF films in community with other climbers from the program,Learning climbing skills from certified instructors,"Learning climbing skills in a safe, welcoming environment",cohort,survey
Participant 26,270323927,"Bouldering,Top-rope,Lead","Top-rope,Lead",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Somewhat likely,Not likely,Not likely,Very likely,Very likely,Somewhat likely,Of Average Importance,Of Little Importance,Of Little Importance,Absolutely Essential,Of Average Importance,Of Average Importance,Of Average Importance,Of Average Importance,Of Average Importance,Absolutely Essential,Absolutely Essential,c3,s1
Participant 27,270323927,Bouldering,,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly agree,Agree,Strongly Agree,Strongly Agree,Not likely,Somewhat likely,Very likely,Very likely,Somewhat likely,Very likely,Not Important At All,Not Important At All,Very Important,Very Important,Not Important At All,Very Important,Of Average Importance,Of Average Importance,Of Average Importance,Absolutely Essential,Absolutely Essential,c3,s1
Participant 28,270323927,,,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly agree,Strongly Agree,Agree,Agree,Not likely,Not likely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Not Important At All,Not Important At All,Not Important At All,Not Important At All,Not Important At All,Not Important At All,Very Important,Very Important,Of Average Importance,Very Important,Very Important,c3,s1
Participant 29,270323927,,,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Not likely,Not likely,Not likely,Not likely,Not likely,Not likely,Not Important At All,Not Important At All,Not Important At All,Not Important At All,Not Important At All,Not Important At All,Very Important,Of Little Importance,Of Average Importance,Absolutely Essential,Absolutely Essential,c3,s1
Participant 30,270323927,,,NA,NA,Agree,NA,NA,NA,Agree,Agree,Disagree,Disagree,NA,Disagree,Disagree,Disagree,Disagree,Agree,Strongly agree,Strongly Agree,Agree,Agree,Not likely,Not likely,Not likely,Not likely,Not likely,Somewhat likely,Not Important At All,Not Important At All,Not Important At All,Not Important At All,Not Important At All,Not Important At All,Absolutely Essential,Of Little Importance,Of Average Importance,Absolutely Essential,Absolutely Essential,c3,s1
Participant 31,270323927,"Bouldering,Top-rope",Lead,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat likely,Somewhat likely,Very likely,Very likely,Somewhat likely,Very likely,Not Important At All,Not Important At All,Of Average Importance,Absolutely Essential,Of Little Importance,Very Important,Absolutely Essential,Of Average Importance,Of Average Importance,Absolutely Essential,Absolutely Essential,c3,s1
Participant 32,270323927,,,NA,Strongly Agree,NA,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,Disagree,Not likely,Not likely,Not likely,Not likely,Somewhat likely,Not likely,Not Important At All,Not Important At All,Of Little Importance,Not Important At All,Not Important At All,Not Important At All,Of Average Importance,Very Important,Very Important,Absolutely Essential,Absolutely Essential,c3,s1
Participant 33,270323927,,,Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Not likely,Not likely,Not likely,Not likely,Not likely,Not likely,Not Important At All,Not Important At All,Of Average Importance,Not Important At All,Not Important At All,Not Important At All,Very Important,Of Average Importance,Of Average Importance,Very Important,Absolutely Essential,c3,s1
Participant 34,270323927,Bouldering,Traditional,Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Strongly agree,Strongly agree,Agree,Agree,Strongly Agree,Not likely,Not likely,Somewhat likely,Somewhat likely,Somewhat likely,Very likely,Of Little Importance,Of Little Importance,Of Average Importance,Of Average Importance,Of Average Importance,Very Important,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Absolutely Essential,c3,s1
Participant 35,270323927,,,NA,NA,NA,NA,NA,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NA,NA,NA,NA,NA,NA,NA,NA,Strongly Agree,Strongly Agree,Strongly Agree,Not likely,Not likely,Not likely,Not likely,Not likely,Not likely,Of Little Importance,Of Little Importance,Of Average Importance,Not Important At All,Of Little Importance,Of Little Importance,Very Important,Very Important,Of Average Importance,Absolutely Essential,Absolutely Essential,c3,s1
