Respondent ID,Collector ID,indoor_style_practice,outdoor_style_practice,I love to climb,Climbing is fun,I am motivated to climb,I feel encouraged in my climbing,I feel hindered in my climbing,I am inspired to climb by my female-identified climbing friends,I am inspired to climb by films showcasing outdoor womxn climbers,I am inspired to spend more time outdoors after watching films that showcase outdoor womxn climbers,I am inspired to go outdoor climbing after watching films that showcase outdoor womxn climbers,I feel represented within the climbing community,I feel outdoor climbing guides are representative of the larger Vancouver and Squamish area,I feel welcomed in the climbing community,I feel safe in the climbing community,I feel connected to the climbing community,I feel the climbing community reflects the diversity of Vancouver and Squamish areas,I feel it is possible for anyone to progress in climbing,I find indoor climbing more accessible than outdoor climbing,I find it difficult to find the resources to go outdoor climbing,I find it difficult to find the time to go outdoor climbing,I find it difficult to find friends to go outdoor climbing with,Go top-rope climbing outdoors,Go bouldering outdoors,Purchase an indoor climbing gym membership,Purchase climbing shoes,Go top-rope climbing indoors,Go bouldering indoors,Top-rope climbing outdoors,Bouldering outdoors,Having an indoor gym membership,Owning my own climbing shoes,Top-rope climbing indoors,Bouldering indoors,Making friends from the program to go climbing with in the future,"Watching VIMFF films that feature Black, Indigenous, or other racialized womxn in the outdoors",Watching VIMFF films in community with other climbers from the program,Learning climbing skills from certified instructors,"Learning climbing skills in a safe, welcoming environment",cohort,survey
Participant 29,270333189,Bouldering,Bouldering,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly agree,Agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly Agree,Disagree,Strongly Agree,Not Likely,Very Likely,Somewhat Likely,Somewhat Likely,Very Likely,Very Likely,Of Average Importance,Of Average Importance,Of Average Importance,Of Average Importance,Of Average Importance,Of Average Importance,Of Average Importance,Not Important At All,Not Important At All,Absolutely Essential,Absolutely Essential,c3,s2
Participant 26,270333189,"Bouldering,Top-rope","Bouldering,Top-rope",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Somewhat Likely,Somewhat Likely,Not Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Of Little Importance,Of Little Importance,Of Little Importance,Of Average Importance,Of Average Importance,Of Little Importance,Of Average Importance,Of Average Importance,Of Average Importance,Absolutely Essential,Absolutely Essential,c3,s2
Participant 28,270333189,"Bouldering,Top-rope","Top-rope,Traditional",Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Likely,Somewhat Likely,Very Likely,Very Likely,Very Likely,Very Likely,Of Little Importance,Of Little Importance,Of Average Importance,Very Important,Of Average Importance,Of Average Importance,Very Important,Very Important,Of Average Importance,Very Important,Very Important,c3,s2
Participant 30,270333189,,No outdoor climbing for me,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Not Likely,Not Likely,Somewhat Likely,Not Likely,Very Likely,Very Likely,Not Important At All,Not Important At All,Of Little Importance,Of Little Importance,Of Little Importance,Of Little Importance,Absolutely Essential,Of Little Importance,Of Little Importance,Absolutely Essential,Absolutely Essential,c3,s2
Participant 33,270333189,"Bouldering,Top-rope",Mixed,Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Disagree,Agree,Somewhat Likely,Somewhat Likely,Very Likely,Very Likely,Very Likely,Very Likely,Of Little Importance,Of Little Importance,Of Average Importance,Of Average Importance,Very Important,Very Important,Very Important,Of Average Importance,Very Important,Absolutely Essential,Absolutely Essential,c3,s2
Participant 27,270333189,"Bouldering,Top-rope","Bouldering,Top-rope,Lead",Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Strongly agree,Agree,Agree,Agree,Somewhat Likely,Somewhat Likely,Very Likely,Very Likely,Very Likely,Very Likely,Of Little Importance,Of Little Importance,Very Important,Very Important,Very Important,Very Important,Absolutely Essential,Of Average Importance,Of Average Importance,Absolutely Essential,Absolutely Essential,c3,s2
Participant 35,270333189,"Bouldering,Top-rope","Bouldering,Top-rope",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Very Likely,Very Likely,Somewhat Likely,Very Likely,Very Likely,Very Likely,Of Average Importance,Of Average Importance,Of Average Importance,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Absolutely Essential,c3,s2
Participant 31,270333189,Bouldering,"Bouldering,Top-rope,Lead,Traditional,Mixed",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Very Likely,Somewhat Likely,Very Likely,Very Likely,Somewhat Likely,Very Likely,Of Average Importance,Of Average Importance,Very Important,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Absolutely Essential,c3,s2
Participant 32,270333189,"Bouldering,Top-rope",Top-rope,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,NA,Agree,Strongly agree,Agree,Agree,NA,Strongly agree,NA,NA,Disagree,Somewhat Likely,Somewhat Likely,Very Likely,Very Likely,Very Likely,Very Likely,Not Important At All,Not Important At All,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Of Average Importance,Of Average Importance,Of Average Importance,Absolutely Essential,Absolutely Essential,c3,s2
Participant 34,270333189,"Bouldering,Top-rope","Bouldering,Top-rope",Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Agree,Strongly Agree,Somewhat Likely,Somewhat Likely,Somewhat Likely,Very Likely,Very Likely,Very Likely,Of Little Importance,Of Little Importance,Of Average Importance,Very Important,Very Important,Very Important,Absolutely Essential,Of Average Importance,Of Little Importance,Absolutely Essential,Absolutely Essential,c3,s2
